continent,location,date,population,new_vaccinations,Rolling_People_Vaccinated
Asia,Afghanistan,2021-05-27,39835428,2859,2859
Asia,Afghanistan,2021-06-03,39835428,4015,6874
Asia,Afghanistan,2022-01-27,39835428,6868,13742
Asia,Afghanistan,2022-04-27,39835428,383,14125
Europe,Albania,2021-01-13,2872934,60,60
Europe,Albania,2021-01-14,2872934,78,138
Europe,Albania,2021-01-15,2872934,42,180
Europe,Albania,2021-01-16,2872934,61,241
Europe,Albania,2021-01-17,2872934,36,277
Europe,Albania,2021-01-18,2872934,42,319
Europe,Albania,2021-01-19,2872934,36,355
Europe,Albania,2021-01-20,2872934,36,391
Europe,Albania,2021-01-21,2872934,30,421
Europe,Albania,2021-02-18,2872934,1348,1769
Europe,Albania,2021-02-19,2872934,1128,2897
Europe,Albania,2021-03-23,2872934,3461,6358
Europe,Albania,2021-03-24,2872934,2302,8660
Europe,Albania,2021-03-25,2872934,5356,14016
Europe,Albania,2021-03-26,2872934,2900,16916
Europe,Albania,2021-03-27,2872934,1827,18743
Europe,Albania,2021-03-28,2872934,13925,32668
Europe,Albania,2021-03-31,2872934,19525,52193
Europe,Albania,2021-04-01,2872934,16617,68810
Europe,Albania,2021-04-02,2872934,17023,85833
Europe,Albania,2021-04-03,2872934,13010,98843
Europe,Albania,2021-04-04,2872934,7386,106229
Europe,Albania,2021-04-05,2872934,13826,120055
Europe,Albania,2021-04-06,2872934,14880,134935
Europe,Albania,2021-04-07,2872934,10791,145726
Europe,Albania,2021-04-08,2872934,10163,155889
Europe,Albania,2021-04-09,2872934,8134,164023
Europe,Albania,2021-04-10,2872934,6134,170157
Europe,Albania,2021-04-13,2872934,13685,183842
Europe,Albania,2021-04-16,2872934,10134,193976
Europe,Albania,2021-04-17,2872934,10218,204194
Europe,Albania,2021-04-18,2872934,8065,212259
Europe,Albania,2021-04-19,2872934,13029,225288
Europe,Albania,2021-04-20,2872934,4066,229354
Europe,Albania,2021-04-21,2872934,22075,251429
Europe,Albania,2021-04-22,2872934,10923,262352
Europe,Albania,2021-04-23,2872934,8353,270705
Europe,Albania,2021-04-24,2872934,8713,279418
Europe,Albania,2021-04-27,2872934,8236,287654
Europe,Albania,2021-04-28,2872934,16773,304427
Europe,Albania,2021-04-29,2872934,19620,324047
Europe,Albania,2021-04-30,2872934,23655,347702
Europe,Albania,2021-05-01,2872934,17125,364827
Europe,Albania,2021-05-04,2872934,19886,384713
Europe,Albania,2021-05-05,2872934,19197,403910
Europe,Albania,2021-05-06,2872934,15642,419552
Europe,Albania,2021-05-07,2872934,13467,433019
Europe,Albania,2021-05-08,2872934,11073,444092
Europe,Albania,2021-05-09,2872934,3234,447326
Europe,Albania,2021-05-10,2872934,12959,460285
